Project key,Issue type,Summary,Description,Status,Assignee,Reporter,Labels,Due date,Start date,Sprint,Story point estimate,Parent,Team
QA,Epic,QA-1 — Fase 0: Setup repositorio y entorno local,Preparar monorepo; Docker Compose dev; README; .env.example; ramas y convenciones según Plan v3.0 y GUIA_IMPLEMENTACION.,To Do,,CAROLINA BENCOSME,inventory-qas fase-0 setup,2026-05-01,2026-05-01,,5,,
QA,Epic,QA-2 — Fase 1: Core funcional productos y stock,Dominio product y stock; Flyway; API REST /api/v1; Swagger; reglas de negocio MVP.,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 core-backend,2026-05-06,2026-05-06,,8,,
QA,Epic,QA-3 — Fase 2: Seguridad Keycloak y permisos granulares,Resource Server; realm export; JWT; @PreAuthorize; pruebas 401/403; CORS.,To Do,,CAROLINA BENCOSME,inventory-qas fase-2 security,2026-05-11,2026-05-11,,8,,
QA,Epic,"QA-4 — Fase 3: Dashboard, reportes y auditoría Envers",Módulos report y audit; UI dashboard y /audit; KPIs y productos críticos.,To Do,,CAROLINA BENCOSME,inventory-qas fase-3 reports,2026-05-16,2026-05-16,,5,,
QA,Epic,QA-5 — Fase 4: Testing full stack y evidencias,"Unit, integration, API, E2E, security, performance; JaCoCo; reportes en docs/qa-evidence.",To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing,2026-05-21,2026-05-21,,13,,
QA,Epic,QA-6 — Fase 5: Observabilidad OpenTelemetry y Grafana stack,"OTLP, Alloy, Prometheus, Loki, Tempo, Grafana, Alertmanager; dashboards y alertas.",To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability,2026-05-27,2026-05-27,,8,,
QA,Epic,"QA-7 — Fase 6: CI/CD GitHub Actions, Jenkins y SonarQube",Workflows PR; Jenkinsfile; quality gate; deploy staging; post-deploy smoke.,To Do,,CAROLINA BENCOSME,inventory-qas fase-6 cicd,2026-06-01,2026-06-01,,8,,
QA,Epic,QA-8 — Fase 7: Documentación final y defensa,Actualizar docs; capturas checklist; ensayo presentación; qa-evidence completo.,To Do,,CAROLINA BENCOSME,inventory-qas fase-7 docs,2026-06-06,2026-06-06,,5,,
QA,Story,QA-9 — Estructura monorepo según plan técnico,"Crear árbol: backend, frontend, docker, observability, keycloak, tests, docs, .github/workflows, Jenkinsfile, docker-compose dev/staging/test, .env.example, README. Criterio: clone y estructura visible.",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 setup,2026-05-01,2026-05-01,,3,,
QA,Task,QA-10 — Configurar .gitignore y política de secretos,"Ignorar node_modules, target, .env, dist, reportes, .idea. Documentar que .env no se versiona.",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 setup,2026-05-02,2026-05-02,,1,,
